Product ID,Variant ID,Product Type,Product Page,Product URL,Title,Description,SKU,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,Shop,p16-oe-single-control-single-slide,p16 OE Single Control Single Slide,"<p>The p16 OE Single Control Single Slide is a pre-sectioned cell-line control slide for p16 immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized p16 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-35,15.00,,No,unlimited,Slide,"p16, Single Control",,,,,Yes,https://pci-update.vercel.app/products/35_p16_OE_Single_Control_Single_Slide.jpg
,,PHYSICAL,Shop,p16-heterogenous-single-control-single-slide,p16 heterogenous Single Control Single Slide,"<p>The p16 heterogenous Single Control Single Slide is a pre-sectioned cell-line control slide for p16 immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized p16 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-36,15.00,,No,unlimited,Slide,"p16, Single Control",,,,,Yes,https://pci-update.vercel.app/products/36_p16_heterogenous_Single_Control_Single_Slide.jpg
,,PHYSICAL,Shop,pten-wild-type-single-control-single-slide,PTEN Wild type Single Control Single Slide,"<p>The PTEN Wild type Single Control Single Slide is a pre-sectioned cell-line control slide for PTEN immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized PTEN expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-37,15.00,,No,unlimited,Slide,"PTEN, Single Control",,,,,Yes,https://pci-update.vercel.app/products/37_PTEN_Wild_type_Single_Control_Single_Slide.jpg
,,PHYSICAL,Shop,folr1-oe-single-control-single-slide,FOLR1 OE Single Control Single Slide,"<p>The FOLR1 OE Single Control Single Slide is a pre-sectioned cell-line control slide for FOLR1 immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized FOLR1 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-38,15.00,,No,unlimited,Slide,"FOLR1, Single Control",,,,,Yes,https://pci-update.vercel.app/products/38_FOLR1_OE_Single_Control_Single_Slide.jpg
,,PHYSICAL,Shop,folr1-negative-single-control-single-slide,FOLR1 Negative single control single slide,"<p>The FOLR1 Negative single control single slide is a pre-sectioned cell-line control slide for FOLR1 immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized FOLR1 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-39,15.00,,No,unlimited,Slide,"FOLR1, Single Control",,,,,Yes,https://pci-update.vercel.app/products/39_FOLR1_Negative_single_control_single_slide.jpg
,,PHYSICAL,Shop,pdl1-high-single-control-single-slide,PDL1 HIGH Single Control Single Slide,"<p>The PDL1 HIGH Single Control Single Slide is a pre-sectioned cell-line control slide for PDL-1 immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized PDL-1 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-40,15.00,,No,unlimited,Slide,"PDL-1, Single Control",,,,,Yes,https://pci-update.vercel.app/products/40_PDL1_HIGH_Single_Control_Single_Slide.jpg
,,PHYSICAL,Shop,wild-type-control-single-control-ffpe-block,Wild type control SINGLE CONTROL FFPE BLOCK,"<p>The Wild type control SINGLE CONTROL FFPE BLOCK is a formalin-fixed paraffin-embedded (FFPE) cell-line control block for — immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized — expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-41,500.00,,No,unlimited,FFPE Block,"—, Single Control",,,,,Yes,https://pci-update.vercel.app/products/41_Wild_type_control_SINGLE_CONTROL_FFPE_BLOCK.jpg
,,PHYSICAL,Shop,p16-null-single-control-ffpe-block,p16 NULL SINGLE CONTROL FFPE BLOCK,"<p>The p16 NULL SINGLE CONTROL FFPE BLOCK is a pre-sectioned cell-line control slide for p16 NULL immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized p16 NULL expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-42,500.00,,No,unlimited,FFPE,"p16 NULL, Single Control",,,,,Yes,https://pci-update.vercel.app/products/42_p16_NULL_SINGLE_CONTROL_FFPE_BLOCK.jpg
,,PHYSICAL,Shop,msh2-dualcontrol-single-slide,MSH2 DualControl™ Single Slide,"<p>The MSH2 DualControl™ Single Slide is a pre-sectioned cell-line control slide for MSH2 immunohistochemistry, configured as a DualControl™ panel comprising two characterized cell-line population(s). It delivers reproducible, pre-characterized MSH2 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> Two characterized cell-line population(s) in a DualControl™ layout.</p>",PCI-43,30.00,,No,unlimited,Slide,"MSH2, DualControl™",,,,,Yes,https://pci-update.vercel.app/products/43_MSH2_DualControl_Single_Slide.jpg
,,PHYSICAL,Shop,pms2-dualcontrol-single-slide,PMS2 DualControl™ Single Slide,"<p>The PMS2 DualControl™ Single Slide is a pre-sectioned cell-line control slide for PMS2 immunohistochemistry, configured as a DualControl™ panel comprising two characterized cell-line population(s). It delivers reproducible, pre-characterized PMS2 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> Two characterized cell-line population(s) in a DualControl™ layout.</p>",PCI-44,30.00,,No,unlimited,Slide,"PMS2, DualControl™",,,,,Yes,https://pci-update.vercel.app/products/44_PMS2_DualControl_Single_Slide.jpg
,,PHYSICAL,Shop,myc-amp-single-control-single-slide,MYC AMP Single Control Single Slide,"<p>The MYC AMP Single Control Single Slide is a pre-sectioned cell-line control slide for MYC immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized MYC expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-45,15.00,,No,unlimited,Slide,"MYC, Single Control",,,,,Yes,https://pci-update.vercel.app/products/45_MYC_AMP_Single_Control_Single_Slide.jpg
,,PHYSICAL,Shop,pten-deficient-single-control-single-slide,PTEN deficient Single Control Single Slide,"<p>The PTEN deficient Single Control Single Slide is a pre-sectioned cell-line control slide for PTEN immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized PTEN expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-46,15.00,,No,unlimited,Slide,"PTEN, Single Control",,,,,Yes,https://pci-update.vercel.app/products/46_PTEN_deficient_Single_Control_Single_Slide.jpg
,,PHYSICAL,Shop,beta-catenin-single-control-single-slide,Beta-catenin Single Control Single Slide,"<p>The Beta-catenin Single Control Single Slide is a pre-sectioned cell-line control slide for Beta-catenin immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized Beta-catenin expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-47,15.00,,No,unlimited,Slide,"Beta-catenin, Single Control",,,,,Yes,https://pci-update.vercel.app/products/47_Beta_catenin_Single_Control_Single_Slide.jpg
,,PHYSICAL,Shop,brafv600e-single-control-single-slide,BRAFV600E Single Control Single Slide,"<p>The BRAFV600E Single Control Single Slide is a pre-sectioned cell-line control slide for BRAFV600E immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized BRAFV600E expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-48,15.00,,No,unlimited,Slide,"BRAFV600E, Single Control",,,,,Yes,https://pci-update.vercel.app/products/48_BRAFV600E_Single_Control_Single_Slide.jpg
,,PHYSICAL,Shop,p16-null-single-control-single-slide,p16 Null Single Control Single Slide,"<p>The p16 Null Single Control Single Slide is a pre-sectioned cell-line control slide for p16 immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized p16 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-49,15.00,,No,unlimited,Slide,"p16, Single Control",,,,,Yes,https://pci-update.vercel.app/products/49_p16_Null_Single_Control_Single_Slide.jpg
,,PHYSICAL,Shop,rb-null-single-control-single-slide,RB Null Single Control Single Slide,"<p>The RB Null Single Control Single Slide is a pre-sectioned cell-line control slide for RB immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized RB expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-50,15.00,,No,unlimited,Slide,"RB, Single Control",,,,,Yes,https://pci-update.vercel.app/products/50_RB_Null_Single_Control_Single_Slide.jpg
,,PHYSICAL,Shop,msh6-single-control-single-slide,MSH6 Single Control Single Slide,"<p>The MSH6 Single Control Single Slide is a pre-sectioned cell-line control slide for MSH6 immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized MSH6 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-51,15.00,,No,unlimited,Slide,"MSH6, Single Control",,,,,Yes,https://pci-update.vercel.app/products/51_MSH6_Single_Control_Single_Slide.jpg
,,PHYSICAL,Shop,mlh1-single-control-single-slide,MLH1 Single Control Single Slide,"<p>The MLH1 Single Control Single Slide is a pre-sectioned cell-line control slide for MLH1 immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized MLH1 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-52,15.00,,No,unlimited,Slide,"MLH1, Single Control",,,,,Yes,https://pci-update.vercel.app/products/52_MLH1_Single_Control_Single_Slide.jpg
,,PHYSICAL,Shop,pms2-single-control-single-slide,PMS2 Single Control Single Slide,"<p>The PMS2 Single Control Single Slide is a pre-sectioned cell-line control slide for PMS2 immunohistochemistry, configured as a Single Control panel comprising a single characterized cell-line population(s). It delivers reproducible, pre-characterized PMS2 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> A single characterized cell-line population(s) in a Single Control layout.</p>",PCI-53,15.00,,No,unlimited,Slide,"PMS2, Single Control",,,,,Yes,https://pci-update.vercel.app/products/53_PMS2_Single_Control_Single_Slide.jpg
,,PHYSICAL,Shop,p53-dualcontrol-single-slide-oe-and-wt,p53 DualControl™ Single Slide (OE and WT),"<p>The p53 DualControl™ Single Slide (OE and WT) is a pre-sectioned cell-line control slide for p53 immunohistochemistry, configured as a DualControl™ panel comprising two characterized cell-line population(s). It delivers reproducible, pre-characterized p53 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> Two characterized cell-line population(s) in a DualControl™ layout.</p>",PCI-54,30.00,,No,unlimited,Slide,"p53, DualControl™",,,,,Yes,https://pci-update.vercel.app/products/54_p53_DualControl_Single_Slide_OE_and_WT.jpg
,,PHYSICAL,Shop,p53-tricontrol-single-slide,p53 TriControl™ Single Slide,"<p>The p53 TriControl™ Single Slide is a pre-sectioned cell-line control slide for p53 immunohistochemistry, configured as a TriControl™ panel comprising three characterized cell-line population(s). It delivers reproducible, pre-characterized p53 expression levels for calibrating, validating, and monitoring IHC staining runs.</p> <p><strong>Composition:</strong> Three characterized cell-line population(s) in a TriControl™ layout.</p>",PCI-55,45.00,,No,unlimited,Slide,"p53, TriControl™",,,,,Yes,https://pci-update.vercel.app/products/55_p53_TriControl_Single_Slide.jpg
